Date/Time,Hs,Hmax,Tz,Tp,Peak Direction,SST
1/1/2017 0:00,-99.9,-99.9,-99.9,-99.9,-99.9,-99.9
1/1/2017 0:30,0.514,1.17,3.39,3.757,-99.9,-99.9
1/1/2017 1:00,0.488,0.88,3.356,3.647,42.48,29.25
1/1/2017 1:30,0.517,0.94,3.323,3.441,29.48,29.2
1/1/2017 2:00,0.495,0.97,3.526,3.885,35.48,29.2
1/1/2017 2:30,0.463,0.94,3.408,3.796,33.48,29.2
1/1/2017 3:00,0.485,0.91,3.521,3.748,39.48,29.2
1/1/2017 3:30,0.457,0.9,3.534,3.74,29.48,29.2
1/1/2017 4:00,0.436,0.72,3.539,6.205,43.48,29.2
1/1/2017 4:30,0.457,0.77,3.421,3.671,47.48,29.2
1/1/2017 5:00,0.441,0.75,3.349,3.414,45.48,29.2
1/1/2017 5:30,0.444,0.86,3.401,6.25,53.48,29.2
1/1/2017 6:00,0.458,0.85,3.605,7.285,21.48,29.15
1/1/2017 6:30,0.459,0.78,3.453,3.534,21.48,29.15
1/1/2017 7:00,0.435,0.82,3.442,3.416,70.48,29.15
1/1/2017 7:30,0.407,0.62,3.515,6.496,15.48,29.15
1/1/2017 8:00,0.405,0.67,3.686,6.554,26.48,29.15
1/1/2017 8:30,0.402,0.62,3.83,5.962,19.48,29.2
1/1/2017 9:00,0.384,0.64,3.625,6.14,22.48,29.35
1/1/2017 9:30,0.366,0.66,3.719,7.077,23.48,29.5
1/1/2017 10:00,0.35,0.61,3.703,6.522,19.48,29.75
1/1/2017 10:30,0.343,0.69,3.846,6.767,18.48,29.7
1/1/2017 11:00,0.362,0.58,4.066,7.099,22.48,29.75
1/1/2017 11:30,0.298,0.55,3.743,6.538,25.48,29.75
1/1/2017 12:00,0.302,0.53,3.695,6.524,23.48,29.8
1/1/2017 12:30,0.298,0.52,3.623,6.782,21.48,29.9
1/1/2017 13:00,0.303,0.51,3.496,6.369,19.48,29.95
1/1/2017 13:30,0.281,0.49,3.473,7.008,21.48,30
1/1/2017 14:00,0.273,0.49,3.257,6.025,22.48,30.05
1/1/2017 14:30,0.294,0.5,3.183,6.547,26.48,30.05
1/1/2017 15:00,0.313,0.61,3.006,6.746,26.48,30.1
1/1/2017 15:30,0.315,0.62,3.071,6.543,29.48,30.1
1/1/2017 16:00,0.332,0.74,2.822,2.491,32.48,30.05
1/1/2017 16:30,0.362,0.65,2.989,2.69,57.48,30
1/1/2017 17:00,0.397,0.73,2.932,2.793,59.48,29.95
1/1/2017 17:30,0.414,0.96,2.948,2.806,54.48,29.9
1/1/2017 18:00,0.412,0.74,2.913,3.101,45.48,29.85
1/1/2017 18:30,0.424,0.82,2.991,3.01,66.48,29.85
1/1/2017 19:00,0.429,0.72,3.157,3.119,46.48,29.8
1/1/2017 19:30,0.397,0.66,3.073,3.1,57.48,29.75
1/1/2017 20:00,0.395,0.75,3.168,3.201,53.48,29.75
1/1/2017 20:30,0.382,0.66,3.195,3.144,57.48,29.7
1/1/2017 21:00,0.398,0.61,3.145,3.002,56.48,29.7
1/1/2017 21:30,0.389,0.67,3.119,3.2,57.48,29.65
1/1/2017 22:00,0.38,0.66,3.293,3.345,70.48,29.65
