Date/Time,Hs,Hmax,Tp,Tz,Peak Direction,SST
2019-01-01 00:00:00,1.181,1.950,5.490,4.161,91.43,27.900
2019-01-01 00:30:00,1.184,2.070,4.405,4.224,87.43,27.850
2019-01-01 01:00:00,1.162,2.210,4.046,4.312,102.43,27.850
2019-01-01 01:30:00,1.162,2.190,4.688,4.121,88.43,27.850
2019-01-01 02:00:00,1.134,1.910,5.796,4.277,78.43,27.850
2019-01-01 02:30:00,1.040,1.790,5.338,4.107,78.43,27.850
2019-01-01 03:00:00,1.022,1.530,4.588,3.989,85.43,27.800
2019-01-01 03:30:00,0.976,1.530,5.418,4.079,82.43,27.850
2019-01-01 04:00:00,0.972,1.720,4.609,4.109,84.43,27.800
2019-01-01 04:30:00,0.988,1.590,5.456,4.121,82.43,27.800
2019-01-01 05:00:00,0.933,1.560,5.469,4.090,84.43,27.750
2019-01-01 05:30:00,0.900,1.570,5.612,4.014,84.43,27.750
2019-01-01 06:00:00,0.929,1.440,6.143,4.093,84.43,27.700
2019-01-01 06:30:00,0.907,1.480,4.723,4.004,78.43,27.700
2019-01-01 07:00:00,1.005,1.470,5.621,4.097,67.43,27.700
2019-01-01 07:30:00,0.933,1.420,4.822,4.071,84.43,27.700
2019-01-01 08:00:00,0.903,1.680,5.645,3.902,88.43,27.700
2019-01-01 08:30:00,0.884,1.360,6.152,3.921,81.43,27.750
2019-01-01 09:00:00,0.848,1.340,5.789,3.845,81.43,27.750
2019-01-01 09:30:00,0.849,1.290,6.199,3.950,90.43,27.750
2019-01-01 10:00:00,0.951,1.450,4.501,4.001,88.43,27.800
2019-01-01 10:30:00,1.026,1.710,4.807,3.965,90.43,27.850
2019-01-01 11:00:00,1.055,1.960,5.201,3.881,88.43,27.850
2019-01-01 11:30:00,1.076,1.760,4.631,3.909,98.43,27.900
2019-01-01 12:00:00,1.100,1.940,4.422,4.098,95.43,27.900
2019-01-01 12:30:00,1.024,1.710,4.689,3.890,99.43,27.950
2019-01-01 13:00:00,1.047,1.750,6.005,4.093,95.43,27.950
2019-01-01 13:30:00,1.035,1.720,5.991,4.068,94.43,27.950
2019-01-01 14:00:00,1.040,2.030,5.334,4.118,85.43,27.950
2019-01-01 14:30:00,1.048,2.030,4.112,3.870,90.43,27.950
2019-01-01 15:00:00,1.087,1.880,5.772,3.952,94.43,27.900
2019-01-01 15:30:00,1.136,1.820,5.041,3.980,91.43,27.850
2019-01-01 16:00:00,1.212,2.210,5.184,4.172,85.43,27.850
2019-01-01 16:30:00,1.290,2.450,5.389,4.132,90.43,27.800
2019-01-01 17:00:00,1.298,2.060,5.308,4.260,95.43,27.800
2019-01-01 17:30:00,1.255,2.460,6.119,4.328,94.43,27.800
2019-01-01 18:00:00,1.279,2.170,4.609,4.279,94.43,27.800
2019-01-01 18:30:00,1.299,2.070,6.346,4.357,92.43,27.750
2019-01-01 19:00:00,1.249,1.980,5.750,4.296,88.43,27.800
2019-01-01 19:30:00,1.234,2.080,4.978,4.278,90.43,27.750
2019-01-01 20:00:00,1.274,2.580,4.957,4.374,95.43,27.750
2019-01-01 20:30:00,1.264,2.350,5.801,4.292,97.43,27.800
2019-01-01 21:00:00,1.396,2.390,6.090,4.429,94.43,27.800
2019-01-01 21:30:00,1.335,2.190,5.217,4.315,92.43,27.850
2019-01-01 22:00:00,1.331,2.200,4.946,4.319,92.43,27.800
2019-01-01 22:30:00,1.227,1.840,5.938,4.203,98.43,27.800
2019-01-01 23:00:00,1.197,2.050,4.806,4.088,88.43,27.800
2019-01-01 23:30:00,1.219,2.230,5.827,4.162,92.43,27.750
2019-01-02 00:00:00,1.175,1.890,5.044,4.082,91.43,27.800
2019-01-02 00:30:00,1.142,1.890,5.803,4.106,94.43,27.750
2019-01-02 01:00:00,1.107,1.850,5.204,3.992,91.43,27.750
2019-01-02 01:30:00,1.194,1.970,5.200,3.888,94.43,27.750
2019-01-02 02:00:00,1.069,1.670,5.969,4.030,88.43,27.750
2019-01-02 02:30:00,1.017,1.910,5.800,3.938,95.43,27.750
2019-01-02 03:00:00,1.019,1.670,5.973,3.891,85.43,27.700
2019-01-02 03:30:00,0.977,1.930,5.335,3.904,91.43,27.700
2019-01-02 04:00:00,0.983,1.750,5.966,3.884,88.43,27.700
2019-01-02 04:30:00,0.968,1.560,6.135,3.830,90.43,27.650
2019-01-02 05:00:00,0.921,1.540,5.725,3.837,78.43,27.650
2019-01-02 05:30:00,0.956,1.710,4.933,3.787,92.43,27.650
2019-01-02 06:00:00,0.975,2.160,6.175,4.062,81.43,27.650
2019-01-02 06:30:00,0.900,1.450,5.799,3.915,84.43,27.600
2019-01-02 07:00:00,0.972,1.700,4.486,3.990,94.43,27.600
2019-01-02 07:30:00,0.926,1.690,4.957,3.921,88.43,27.600
2019-01-02 08:00:00,0.959,1.860,5.939,3.997,91.43,27.650
2019-01-02 08:30:00,0.939,1.690,5.187,4.066,90.43,27.650
2019-01-02 09:00:00,0.951,1.630,5.845,4.118,91.43,27.650
2019-01-02 09:30:00,0.972,1.500,5.585,3.954,97.43,27.700
2019-01-02 10:00:00,0.970,1.540,5.352,3.998,92.43,27.700
2019-01-02 10:30:00,0.998,1.770,5.073,4.190,90.43,27.750
2019-01-02 11:00:00,1.012,1.670,5.793,4.051,90.43,27.800
2019-01-02 11:30:00,0.981,1.800,4.816,4.000,88.43,27.800
2019-01-02 12:00:00,1.025,1.720,5.333,4.101,85.43,27.850
2019-01-02 12:30:00,1.054,1.920,4.689,3.990,94.43,27.850
2019-01-02 13:00:00,1.108,1.860,5.231,4.076,85.43,27.850
2019-01-02 13:30:00,1.036,1.860,4.495,3.911,97.43,27.850
2019-01-02 14:00:00,1.063,1.760,5.977,4.038,92.43,27.850
2019-01-02 14:30:00,1.151,1.990,5.062,4.037,94.43,27.850
2019-01-02 15:00:00,1.106,1.760,5.759,3.903,94.43,27.850
2019-01-02 15:30:00,1.173,2.610,4.514,4.041,90.43,27.800
2019-01-02 16:00:00,1.196,2.260,4.920,4.063,97.43,27.800
2019-01-02 16:30:00,1.224,2.100,4.708,4.082,90.43,27.750
2019-01-02 17:00:00,1.181,2.020,5.800,4.073,98.43,27.800
2019-01-02 17:30:00,1.189,2.020,5.782,4.038,88.43,27.750
2019-01-02 18:00:00,1.218,2.060,5.251,4.237,92.43,27.750
2019-01-02 18:30:00,1.210,1.960,5.579,4.137,94.43,27.750
2019-01-02 19:00:00,1.249,2.050,5.779,4.317,90.43,27.750
2019-01-02 19:30:00,1.234,1.970,5.278,4.235,91.43,27.750
2019-01-02 20:00:00,1.295,2.220,5.828,4.335,98.43,27.700
2019-01-02 20:30:00,1.279,2.220,4.818,4.299,92.43,27.700
2019-01-02 21:00:00,1.251,2.340,5.212,4.199,97.43,27.700
2019-01-02 21:30:00,1.265,2.210,5.237,4.262,98.43,27.750
2019-01-02 22:00:00,1.319,2.080,5.781,4.380,101.43,27.750
2019-01-02 22:30:00,1.317,2.630,6.296,4.231,94.43,27.750
2019-01-02 23:00:00,1.333,2.110,5.488,4.281,98.43,27.750
2019-01-02 23:30:00,1.326,2.710,5.953,4.322,94.43,27.750
2019-01-03 00:00:00,1.214,2.300,6.105,4.249,95.43,27.750
2019-01-03 00:30:00,1.177,1.840,6.507,4.174,92.43,27.750
2019-01-03 01:00:00,1.128,1.810,6.532,4.247,94.43,27.700
2019-01-03 01:30:00,1.096,1.770,5.489,4.178,94.43,27.700
2019-01-03 02:00:00,1.047,1.750,6.347,4.186,92.43,27.700
2019-01-03 02:30:00,1.083,1.790,6.740,4.260,90.43,27.700
2019-01-03 03:00:00,1.004,1.860,6.451,4.107,84.43,27.700
2019-01-03 03:30:00,1.023,1.790,6.768,4.216,91.43,27.650
2019-01-03 04:00:00,1.085,1.660,6.555,4.238,88.43,27.650
2019-01-03 04:30:00,0.985,1.650,6.195,4.182,88.43,27.600
2019-01-03 05:00:00,1.004,1.800,6.752,4.157,87.43,27.600
2019-01-03 05:30:00,0.927,1.620,5.649,4.279,85.43,27.600
2019-01-03 06:00:00,0.930,1.600,6.686,4.365,84.43,27.550
2019-01-03 06:30:00,0.917,1.590,6.428,4.276,87.43,27.550
2019-01-03 07:00:00,0.872,1.650,6.550,4.225,92.43,27.550
2019-01-03 07:30:00,0.844,1.490,6.348,4.203,97.43,27.550
2019-01-03 08:00:00,0.826,1.330,6.986,4.156,87.43,27.550
