"Date/Time","Hs","Hmax","Tz","Tp","Dir_Tp TRUE","SST"
2016-01-01T00:30:00,  0.5583,  1.0200,  3.5782,  4.3975,  0.0000,  0.0000
2016-01-01T01:00:00,  0.5630,  1.0000,  3.4946,  4.8212, 88.5070, 27.9500
2016-01-01T01:30:00,  0.5669,  0.8700,  3.5505,  4.2153, 97.5070, 27.9500
2016-01-01T02:00:00,  0.6113,  1.1900,  3.7058,  4.4889, 98.5070, 27.9000
2016-01-01T02:30:00,  0.5784,  1.0800,  3.5898,  4.2825, 95.5070, 27.9000
2016-01-01T03:00:00,  0.5765,  1.0600,  3.4449,  4.9307, 90.5070, 27.9000
2016-01-01T03:30:00,  0.5916,  1.1500,  3.4896,  4.5475, 99.5070, 27.9000
2016-01-01T04:00:00,  0.5140,  0.8500,  3.3905,  4.3874, 95.5070, 27.9000
2016-01-01T04:30:00,  0.5358,  1.0500,  3.6012,  4.6043,105.5070, 27.8500
2016-01-01T05:00:00,  0.5311,  1.0700,  3.5017,  4.9035, 99.5070, 27.8500
2016-01-01T05:30:00,  0.4897,  0.9100,  3.4865,  3.8043, 91.5070, 27.8500
2016-01-01T06:00:00,  0.4663,  0.9200,  3.3806,  4.2000, 97.5070, 27.8500
2016-01-01T06:30:00,  0.4647,  0.7300,  3.3938,  3.6036, 97.5070, 27.8500
2016-01-01T07:00:00,  0.4477,  0.8500,  3.4249,  5.0402, 90.5070, 27.8500
2016-01-01T07:30:00,  0.4315,  0.7200,  3.5345,  5.2039, 95.5070, 27.8500
2016-01-01T08:00:00,  0.4656,  0.8800,  3.3311,  4.9436, 94.5070, 27.8500
2016-01-01T08:30:00,  0.4313,  0.8300,  3.3820,  4.3071, 92.5070, 27.9000
2016-01-01T09:00:00,  0.4187,  0.7400,  3.3821,  4.8192, 88.5070, 27.9000
2016-01-01T09:30:00,  0.4417,  0.7300,  3.5659,  4.9268, 88.5070, 27.9500
2016-01-01T10:00:00,  0.3901,  0.6300,  3.3474,  5.0507, 88.5070, 28.0000
2016-01-01T10:30:00,  0.4140,  0.7200,  3.2881,  3.5452, 85.5070, 28.0500
2016-01-01T11:00:00,  0.4116,  0.7800,  3.2904,  3.0910,105.5070, 28.1000
2016-01-01T11:30:00,  0.4010,  0.7200,  3.2754,  4.6964, 94.5070, 28.1500
2016-01-01T12:00:00,  0.3809,  0.6800,  3.1674,  4.4735, 77.5070, 28.2500
2016-01-01T12:30:00,  0.3857,  0.6600,  3.1980,  3.7284, 81.5070, 28.3000
2016-01-01T13:00:00,  0.4052,  0.7500,  3.2488,  4.5838,101.5070, 28.2500
2016-01-01T13:30:00,  0.4028,  0.6800,  3.2435,  4.2385, 94.5070, 28.2500
2016-01-01T14:00:00,  0.4115,  0.6900,  3.2926,  3.5498, 95.5070, 28.3000
2016-01-01T14:30:00,  0.3946,  0.7000,  3.1530,  3.6126, 97.5070, 28.3000
2016-01-01T15:00:00,  0.4202,  0.8000,  3.2078,  3.5898,104.5070, 28.3500
2016-01-01T15:30:00,  0.4211,  0.7400,  3.2098,  3.5047,105.5070, 28.3500
2016-01-01T16:00:00,  0.4195,  0.7500,  3.2245,  3.8828, 91.5070, 28.3000
2016-01-01T16:30:00,  0.4063,  0.6800,  3.1149,  3.7054, 98.5070, 28.2500
2016-01-01T17:00:00,  0.4226,  0.7200,  3.1575,  3.7608, 92.5070, 28.3000
2016-01-01T17:30:00,  0.4278,  0.6700,  3.1651,  2.7596, 99.5070, 28.2500
2016-01-01T18:00:00,  0.4285,  0.7300,  3.0049,  2.6819,102.5070, 28.2000
2016-01-01T18:30:00,  0.4110,  0.7200,  3.1017,  2.8404, 87.5070, 28.1500
2016-01-01T19:00:00,  0.4160,  0.7800,  3.1168,  3.1826, 49.5070, 28.1000
2016-01-01T19:30:00,  0.4099,  0.7200,  3.1639,  3.8830, 88.5070, 28.1000
2016-01-01T20:00:00,  0.4004,  0.6900,  3.1420,  3.0491, 49.5070, 28.1000
2016-01-01T20:30:00,  0.4141,  0.7100,  3.2201,  3.2999, 56.5070, 28.0500
2016-01-01T21:00:00,  0.3870,  0.6500,  2.9948,  3.0171, 52.5070, 28.0500
2016-01-01T21:30:00,  0.3975,  0.7000,  3.0911,  2.9572, 52.5070, 28.0500
2016-01-01T22:00:00,  0.3803,  0.7900,  2.9760,  2.9540, 56.5070, 28.0500
2016-01-01T22:30:00,  0.3835,  0.6800,  2.9990,  2.9234, 46.5070, 28.0000
2016-01-01T23:00:00,  0.3841,  0.6100,  3.0407,  2.9137, 60.5070, 27.9500
2016-01-01T23:30:00,  0.3968,  0.7200,  2.9365,  3.1442, 45.5070, 28.0000
2016-01-02T00:00:00,  0.4191,  0.6600,  3.0681,  3.0378, 37.5069, 27.9500
2016-01-02T00:30:00,  0.4174,  0.6800,  2.8779,  3.0039, 40.5069, 27.9500
2016-01-02T01:00:00,  0.4090,  0.7300,  2.9656,  3.0074, 50.5069, 27.9500
2016-01-02T01:30:00,  0.4103,  0.6500,  2.9722,  3.1093, 57.5069, 27.9500
2016-01-02T02:00:00,  0.4247,  0.7300,  2.9609,  3.0539, 42.5069, 27.9500
2016-01-02T02:30:00,  0.4308,  0.7900,  2.9772,  3.3486, 39.5069, 27.9500
2016-01-02T03:00:00,  0.4514,  0.7700,  2.9475,  3.1676, 47.5069, 27.9000
2016-01-02T03:30:00,  0.4458,  0.8000,  2.9849,  3.0874, 36.5069, 27.9000
2016-01-02T04:00:00,  0.4348,  0.7600,  2.9728,  3.1915, 37.5069, 27.9000
2016-01-02T04:30:00,  0.4237,  0.7000,  3.0257,  3.0351, 36.5069, 27.9000
2016-01-02T05:00:00,  0.4245,  0.7800,  2.9904,  3.1887, 42.5069, 27.9000
2016-01-02T05:30:00,  0.4434,  0.8600,  3.1127,  3.1613, 45.5069, 27.9000
2016-01-02T06:00:00,  0.3962,  0.6900,  3.1077,  3.3629, 37.5069, 27.9000
2016-01-02T06:30:00,  0.4091,  0.6400,  3.0124,  3.1324, 45.5069, 27.8500
2016-01-02T07:00:00,  0.4217,  0.8400,  3.0517,  3.3542, 37.5069, 27.9000
2016-01-02T07:30:00,  0.4385,  0.8700,  3.0414,  3.2859, 43.5069, 27.9000
2016-01-02T08:00:00,  0.4429,  0.8200,  3.0865,  3.2166, 37.5069, 27.9000
2016-01-02T08:30:00,  0.4184,  0.7900,  2.9473,  3.3617, 37.5069, 27.9000
2016-01-02T09:00:00,  0.4081,  0.7800,  2.9712,  3.3038, 39.5069, 27.9000
2016-01-02T09:30:00,  0.4250,  0.8500,  3.0096,  3.2595, 42.5069, 27.9500
2016-01-02T10:00:00,  0.4354,  0.8100,  2.8662,  3.2990, 39.5069, 28.0000
2016-01-02T10:30:00,  0.4577,  0.8100,  2.9767,  3.2039, 39.5069, 28.0000
2016-01-02T11:00:00,  0.4332,  0.9100,  2.9832,  3.2602, 43.5069, 28.0500
2016-01-02T11:30:00,  0.4521,  0.7800,  2.9592,  3.3100, 42.5069, 28.0500
2016-01-02T12:00:00,  0.4628,  0.8600,  2.9146,  3.0585, 42.5069, 28.1000
2016-01-02T12:30:00,  0.5159,  0.9300,  3.0000,  3.3455, 16.5069, 28.1500
2016-01-02T13:00:00,  0.4922,  0.7800,  3.0795,  3.1358, 39.5069, 28.1500
2016-01-02T13:30:00,  0.5393,  1.0100,  2.9919,  3.3832, 28.5069, 28.1500
2016-01-02T14:00:00,  0.5403,  1.1800,  2.9939,  3.5526, 30.5069, 28.1500
2016-01-02T14:30:00,  0.5527,  0.9400,  3.0691,  3.5404, 32.5069, 28.1500
2016-01-02T15:00:00,  0.5680,  1.1800,  3.0419,  3.3563, 43.5069, 28.1500
2016-01-02T15:30:00,  0.5517,  0.8400,  3.0605,  3.3708, 33.5069, 28.2000
2016-01-02T16:00:00,  0.6378,  1.2000,  3.1920,  3.6644, 23.5069, 28.2000
2016-01-02T16:30:00,  0.6390,  1.1700,  3.2334,  3.6799, 33.5069, 28.1500
2016-01-02T17:00:00,  0.6362,  1.0000,  3.2461,  3.7503, 36.5069, 28.1500
2016-01-02T17:30:00,  0.6605,  1.1600,  3.2523,  3.7965, 35.5069, 28.1500
2016-01-02T18:00:00,  0.7205,  1.2400,  3.4141,  3.7342, 40.5069, 28.1000
2016-01-02T18:30:00,  0.7455,  1.3600,  3.4240,  4.0151, 35.5069, 28.1000
2016-01-02T19:00:00,  0.7459,  1.3200,  3.5480,  3.8896, 35.5069, 28.1000
2016-01-02T19:30:00,  0.7869,  1.6300,  3.4784,  4.3053, 28.5069, 28.0500
2016-01-02T20:00:00,  0.7918,  1.3200,  3.5181,  4.2740, 36.5069, 28.0500
2016-01-02T20:30:00,  0.8709,  1.4200,  3.7059,  4.1200, 46.5069, 28.0500
