Date/Time,Hs,Hmax,Tz,Tp,Peak Direction,SST
1/1/2018 0:00,-99.9,-99.9,-99.9,-99.9,-99.9,-99.9
1/1/2018 0:30,0.561,1.08,3.172,3.798,-99.9,-99.9
1/1/2018 1:00,0.572,0.99,3.135,3.827,12.46,29.95
1/1/2018 1:30,0.613,1.02,3.256,3.799,22.46,29.95
1/1/2018 2:00,0.609,0.99,3.236,3.953,5.46,29.95
1/1/2018 2:30,0.675,1.32,3.402,3.939,9.46,29.95
1/1/2018 3:00,0.679,1.27,3.342,3.883,15.46,29.95
1/1/2018 3:30,0.613,1.11,3.157,3.957,2.46,29.9
1/1/2018 4:00,0.681,1.07,3.299,3.884,14.46,29.9
1/1/2018 4:30,0.673,1.27,3.217,3.598,11.46,29.9
1/1/2018 5:00,0.652,1.16,3.239,3.738,14.46,29.9
1/1/2018 5:30,0.633,1.05,3.261,3.546,8.46,29.85
1/1/2018 6:00,0.592,1.08,3.181,3.715,4.46,29.85
1/1/2018 6:30,0.572,1.01,3.17,3.545,5.46,29.85
1/1/2018 7:00,0.559,1.04,3.168,3.731,354.46,29.85
1/1/2018 7:30,0.548,0.88,3.118,3.598,5.46,29.85
1/1/2018 8:00,0.576,1.06,3.111,3.67,351.46,29.85
1/1/2018 8:30,0.543,1.06,3.098,3.472,15.46,29.85
1/1/2018 9:00,0.539,0.86,3.084,3.416,352.46,29.85
1/1/2018 9:30,0.524,0.83,3.083,3.799,352.46,29.85
1/1/2018 10:00,0.509,0.99,3.07,3.6,5.46,29.85
1/1/2018 10:30,0.515,1.05,3.002,3.55,351.46,29.85
1/1/2018 11:00,0.487,0.88,2.978,3.529,344.46,29.95
1/1/2018 11:30,0.473,0.74,3.038,3.299,351.46,29.95
1/1/2018 12:00,0.487,0.85,3.123,3.306,354.46,30
1/1/2018 12:30,0.452,0.86,3.01,3.339,352.46,30.05
1/1/2018 13:00,0.477,0.82,2.977,3.67,351.46,30.05
1/1/2018 13:30,0.447,0.89,3.045,3.48,355.46,30.1
1/1/2018 14:00,0.441,0.88,3.027,3.67,5.46,30.15
1/1/2018 14:30,0.409,0.93,2.977,3.491,357.46,30.2
