"Date/Time","Hs","Hmax","Tz","Tp","Dir_Tp TRUE","SST"
2012-01-01T00:00:00,  1.5191,  2.3000,  4.4753,  6.7831, 92.6060, 28.4500
2012-01-01T00:30:00,  1.5122,  2.5800,  4.4475,  6.3724, 99.6060, 28.4000
2012-01-01T01:00:00,  1.4617,  2.4400,  4.4135,  6.5646, 97.6060, 28.4000
2012-01-01T01:30:00,  1.5597,  3.0400,  4.6483,  6.6132, 95.6060, 28.4000
2012-01-01T02:00:00,  1.4168,  2.3600,  4.3142,  5.9959, 92.6060, 28.4000
2012-01-01T02:30:00,  1.3745,  2.3700,  4.4352,  5.3339, 97.6060, 28.4000
2012-01-01T03:00:00,  1.2272,  2.1300,  4.3285,  6.1395, 94.6060, 28.3500
2012-01-01T03:30:00,  1.1567,  2.1200,  4.2467,  6.8096, 92.6060, 28.4000
2012-01-01T04:00:00,  1.2296,  2.0000,  4.3303,  6.5871, 98.6060, 28.4000
2012-01-01T04:30:00,  1.1976,  2.0400,  4.1851,  6.5544, 94.6060, 28.3500
2012-01-01T05:00:00,  1.2432,  2.1600,  4.2505,  6.5973, 92.6060, 28.4000
2012-01-01T05:30:00,  1.2379,  2.1600,  4.2256,  6.1514, 97.6060, 28.3500
2012-01-01T06:00:00,  1.2778,  2.0700,  4.5280,  6.7649, 95.6060, 28.3500
2012-01-01T06:30:00,  1.1899,  2.0700,  4.2862,  6.5853, 95.6060, 28.3500
2012-01-01T07:00:00,  1.1917,  2.0500,  4.3876,  6.1382, 94.6060, 28.3500
2012-01-01T07:30:00,  1.1859,  1.8000,  4.2297,  6.8004, 95.6060, 28.3500
2012-01-01T08:00:00,  1.1150,  1.9100,  4.2460,  6.7605, 97.6060, 28.3500
2012-01-01T08:30:00,  1.0730,  1.7800,  4.1665,  6.5845, 91.6060, 28.4000
2012-01-01T09:00:00,  1.0979,  2.0000,  4.2566,  5.7711, 94.6060, 28.4000
2012-01-01T09:30:00,  1.0441,  1.8100,  4.3680,  6.5684, 97.6060, 28.4000
2012-01-01T10:00:00,  1.0735,  1.7900,  4.2902,  5.6425, 94.6060, 28.4500
2012-01-01T10:30:00,  1.0243,  1.8100,  4.0488,  6.6536, 95.6060, 28.4500
2012-01-01T11:00:00,  1.0315,  1.8400,  3.9263,  6.1799, 92.6060, 28.5000
2012-01-01T11:30:00,  1.0617,  1.8800,  4.1654,  6.3804, 97.6060, 28.5000
2012-01-01T12:00:00,  1.0765,  1.8600,  4.0023,  6.3711, 90.6060, 28.5000
2012-01-01T12:30:00,  1.0276,  1.5800,  4.0293,  5.6409, 95.6060, 28.5000
2012-01-01T13:00:00,  1.0178,  1.7300,  4.0347,  5.9513, 92.6060, 28.5500
2012-01-01T13:30:00,  0.9675,  1.8800,  3.9221,  5.2143, 88.6060, 28.5500
2012-01-01T14:00:00,  1.0061,  1.5100,  4.0296,  6.1216, 87.6060, 28.5500
2012-01-01T14:30:00,  0.9628,  1.6600,  3.9289,  6.4609, 91.6060, 28.5500
2012-01-01T15:00:00,  0.9560,  1.4100,  3.9404,  5.9497, 82.6060, 28.5500
2012-01-01T15:30:00,  0.9228,  1.7400,  3.7910,  4.8260, 94.6060, 28.5000
2012-01-01T16:00:00,  0.9257,  1.5200,  3.8969,  4.2939, 97.6060, 28.5000
2012-01-01T16:30:00,  0.9265,  1.4700,  3.9214,  5.6246, 91.6060, 28.5000
2012-01-01T17:00:00,  1.0591,  1.6900,  4.1128,  5.4988, 85.6060, 28.5000
2012-01-01T17:30:00,  1.0790,  2.1500,  3.9263,  5.3594, 84.6060, 28.5000
2012-01-01T18:00:00,  1.0522,  2.0300,  4.0049,  4.9069, 85.6060, 28.5000
2012-01-01T18:30:00,  1.1037,  1.7700,  4.0503,  5.5435, 95.6060, 28.5000
2012-01-01T19:00:00,  1.1126,  1.8800,  4.0061,  5.1894, 92.6060, 28.5000
2012-01-01T19:30:00,  1.1644,  2.0200,  4.0674,  5.9451, 97.6060, 28.5000
2012-01-01T20:00:00,  1.1041,  1.8300,  3.9565,  5.3632, 94.6060, 28.5000
2012-01-01T20:30:00,  1.1737,  2.0200,  4.1118,  5.1587, 97.6060, 28.5000
2012-01-01T21:00:00,  1.1459,  2.0200,  4.0633,  5.6485, 98.6060, 28.5000
2012-01-01T21:30:00,  1.1428,  2.0400,  3.9955,  5.7561, 95.6060, 28.5000
2012-01-01T22:00:00,  1.1991,  1.9800,  4.1366,  5.8179, 85.6060, 28.5000
2012-01-01T22:30:00,  1.2088,  1.9700,  4.1884,  5.9893, 92.6060, 28.5000
2012-01-01T23:00:00,  1.2424,  2.1600,  4.3414,  5.8259, 95.6060, 28.5000
2012-01-01T23:30:00,  1.2126,  2.1000,  4.2059,  6.1399, 94.6060, 28.5000
2012-01-02T00:00:00,  1.1476,  1.7300,  4.1884,  6.3073, 95.6060, 28.5000
2012-01-02T00:30:00,  1.1797,  1.9500,  4.3145,  6.3629, 90.6060, 28.5000
2012-01-02T01:00:00,  1.1561,  2.1000,  4.1293,  6.1516, 94.6060, 28.4500
2012-01-02T01:30:00,  1.0887,  1.9900,  4.3129,  6.5160, 95.6060, 28.4500
2012-01-02T02:00:00,  1.0711,  1.6800,  4.2778,  6.4211, 94.6060, 28.4500
2012-01-02T02:30:00,  1.1124,  2.2800,  4.3361,  6.5348, 94.6060, 28.4000
2012-01-02T03:00:00,  0.9955,  1.6100,  4.0805,  6.3699, 92.6060, 28.4000
2012-01-02T03:30:00,  1.0355,  2.0000,  4.1287,  6.1908, 95.6060, 28.3500
2012-01-02T04:00:00,  1.0028,  1.8900,  4.2998,  6.2950, 90.6060, 28.3500
2012-01-02T04:30:00,  0.9424,  1.6600,  4.1465,  6.3866, 92.6060, 28.3500
2012-01-02T05:00:00,  0.8796,  1.6300,  4.0511,  5.3847, 99.6060, 28.3000
2012-01-02T05:30:00,  0.8570,  1.3800,  3.9513,  6.3636, 97.6060, 28.3000
2012-01-02T06:00:00,  0.8536,  1.5000,  3.8872,  6.1563, 90.6059, 28.3000
2012-01-02T06:30:00,  0.8375,  1.3400,  3.8494,  6.1779, 94.6059, 28.3000
2012-01-02T07:00:00,  0.8670,  1.5400,  3.9321,  6.1536, 98.6059, 28.3000
2012-01-02T07:30:00,  0.8786,  1.5300,  3.9884,  5.6381, 98.6059, 28.3000
2012-01-02T08:00:00,  0.8602,  1.5600,  3.9649,  5.7439, 94.6059, 28.3000
2012-01-02T08:30:00,  0.8637,  1.4300,  4.0401,  5.9910, 92.6059, 28.3000
2012-01-02T09:00:00,  0.7913,  1.4000,  3.7842,  6.3582, 94.6059, 28.3000
2012-01-02T09:30:00,  0.8236,  1.4700,  3.9886,  5.9458, 97.6059, 28.3500
2012-01-02T10:00:00,  0.7953,  1.3800,  3.9082,  5.6680, 92.6059, 28.3500
2012-01-02T10:30:00,  0.7418,  1.3400,  3.7440,  5.3299, 95.6059, 28.3500
2012-01-02T11:00:00,  0.7855,  1.4000,  3.8295,  5.4745, 91.6059, 28.4000
2012-01-02T11:30:00,  0.7685,  1.2800,  3.6490,  5.3533, 87.6059, 28.4500
2012-01-02T12:00:00,  0.7683,  1.4000,  3.7807,  5.4730, 97.6059, 28.4500
2012-01-02T12:30:00,  0.7339,  1.3000,  3.5707,  5.1998, 94.6059, 28.5000
2012-01-02T13:00:00,  0.7993,  1.3300,  3.6214,  5.0883, 94.6059, 28.5500
2012-01-02T13:30:00,  0.8153,  1.4200,  3.7476,  5.2176, 97.6059, 28.5000
2012-01-02T14:00:00,  0.8080,  1.6500,  3.7132,  5.3341, 95.6059, 28.5000
2012-01-02T14:30:00,  0.8934,  1.6100,  3.7577,  5.0550, 91.6059, 28.5000
2012-01-02T15:00:00,  0.9170,  1.4900,  3.7907,  4.2032, 92.6059, 28.5000
2012-01-02T15:30:00,  0.9713,  1.6100,  3.7459,  4.5014,101.6059, 28.5000
2012-01-02T16:00:00,  0.9932,  1.5700,  3.9197,  5.3160, 97.6059, 28.4500
2012-01-02T16:30:00,  0.9810,  1.6600,  3.8745,  5.3385, 92.6059, 28.4500
2012-01-02T17:00:00,  1.0320,  1.7300,  3.9642,  5.3114, 91.6059, 28.4000
2012-01-02T17:30:00,  1.0355,  1.7300,  4.0455,  5.0430, 91.6059, 28.4000
2012-01-02T18:00:00,  1.0128,  1.6800,  3.8846,  4.6047, 88.6059, 28.4000
2012-01-02T18:30:00,  0.9918,  1.5000,  3.9537,  5.2087, 95.6059, 28.3500
2012-01-02T19:00:00,  1.0032,  2.0100,  3.9157,  4.6276, 92.6059, 28.3500
2012-01-02T19:30:00,  1.0502,  1.7200,  4.0164,  5.0509, 92.6059, 28.3500
2012-01-02T20:00:00,  1.1085,  1.8500,  4.0132,  4.8507, 98.6059, 28.3500
2012-01-02T20:30:00,  1.1413,  2.0900,  3.9245,  5.6141,101.6059, 28.3500
2012-01-02T21:00:00,  1.1175,  1.9000,  4.1096,  5.4850, 92.6059, 28.3000
2012-01-02T21:30:00,  1.2643,  2.1800,  4.2450,  5.8329, 98.6059, 28.3000
