"Date/Time","Hs","Hmax","Tz","Tp","Dir_Tp TRUE","SST"
2013-01-01T00:00:00,  1.0601,  1.7900,  4.0666,  5.5135, 94.5810, 28.0500
2013-01-01T00:30:00,  1.1175,  1.8000,  4.0769,  5.0573, 91.5810, 28.0500
2013-01-01T01:00:00,  1.1417,  1.8300,  4.1173,  5.9228, 94.5810, 28.0500
2013-01-01T01:30:00,  1.1183,  1.7600,  4.2075,  5.9925, 97.5810, 28.0500
2013-01-01T02:00:00,  1.0876,  2.0500,  4.2257,  5.9834, 95.5810, 28.0500
2013-01-01T02:30:00,  1.1332,  1.8700,  4.1903,  6.3434, 95.5810, 28.0000
2013-01-01T03:00:00,  1.1743,  2.0200,  4.3925,  6.1574, 91.5810, 28.0000
2013-01-01T03:30:00,  1.1168,  1.7300,  4.2102,  6.3161, 98.5810, 27.9500
2013-01-01T04:00:00,  1.1115,  1.6800,  4.2695,  6.3483, 95.5810, 27.9500
2013-01-01T04:30:00,  1.1453,  2.1400,  4.2483,  6.5496, 97.5810, 27.9000
2013-01-01T05:00:00,  1.0509,  1.8000,  4.0960,  5.6349, 92.5810, 27.9000
2013-01-01T05:30:00,  1.1559,  1.8800,  4.3076,  6.5036, 95.5810, 27.8500
2013-01-01T06:00:00,  0.9999,  1.9300,  4.0797,  6.3722, 95.5810, 27.8500
2013-01-01T06:30:00,  1.0390,  1.7200,  4.1356,  5.8126, 94.5810, 27.8000
2013-01-01T07:00:00,  1.0108,  1.6600,  4.0266,  6.1952, 99.5810, 27.8000
2013-01-01T07:30:00,  1.0366,  1.5600,  4.0559,  6.1822, 92.5810, 27.8000
2013-01-01T08:00:00,  0.9771,  1.5300,  4.1474,  6.3650, 85.5810, 27.7500
2013-01-01T08:30:00,  1.0047,  1.7500,  4.3370,  6.3088, 98.5810, 27.7500
2013-01-01T09:00:00,  0.9624,  1.5900,  4.0687,  6.3330, 92.5810, 27.8000
2013-01-01T09:30:00,  0.8996,  1.6600,  4.1316,  5.4855, 90.5810, 27.8000
2013-01-01T10:00:00,  0.9135,  1.8100,  4.1295,  6.0228, 92.5810, 27.8000
2013-01-01T10:30:00,  0.8743,  1.3300,  3.9964,  5.2221, 88.5810, 27.8500
